Abbreviation,Ion Full Name,Smiles
[MMIM],"1,3-dimethyl-imidazolium",C[N+]1=CN(C=C1)C
[EMIM],1-ethyl-3-methyl-imidazolium,C(C)[N+]1=CN(C=C1)C
[PMIM],1-propyl-3-methylimidazolium,C(CC)[N+]1=CN(C=C1)C
[BMIM],1-butyl-3-methyl-imidazolium,C(CCC)[N+]1=CN(C=C1)C
[C5MIM],1-pentyl-3-methyl-imidazolium,C(CCCC)[N+]1=CN(C=C1)C
[HMIM],1-hexyl-3-methyl-imidazolium,C(CCCCC)[N+]1=CN(C=C1)C
[C7MIM],1-heptyl-3-methylimidazolium,C(CCCCCC)[N+]1=CN(C=C1)C
[OMIM],1-octyl-3-methyl-imidazolium,C(CCCCCCC)[N+]1=CN(C=C1)C
[NMIM],1-nonyl-3-methylimidazolium,C(CCCCCCCC)[N+]1=CN(C=C1)C
[DMIM],1-decyl-3-methyl-imidazolium,C(CCCCCCCCC)[N+]1=CN(C=C1)C
[C12MIM],1-dodecyl-3-methylimidazolium,C(CCCCCCCCCCC)[N+]1=CN(C=C1)C
[C6F9MIM],"1-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-3-methyl-imidazolium",FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F
[C8F13MIM],"1-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)-3-methyl-imidazolium",FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F
[HOC2MIM],1-(2-hydroxyethyl)-3-methyl-imidazolium,OCC[N+]1=CN(C=C1)C
[HOC3MIM],1-hydroxypropyl-3-methylimidazolium,OC(CC)[N+]1=CN(C=C1)C
[C3OMIM],1-(2-methoxyethyl)-3-methylimidazolium,COCC[N+]1=CN(C=C1)C
[C5O2MIM],1-[2-(2-methoxyethoxy)ethyl]-3-methylimidazolium,COCCOCC[N+]1=CN(C=C1)C
[aMIM],1-allyl-3-methylimidazolium,C(C=C)[N+]1=CN(C=C1)C
[oleyl-MIM],1-(Z-octadec-9-enyl)-3-methylimidazolium,C(CCCCCCC\C=C/CCCCCCCC)[N+]1=CN(C=C1)C
[BBIM],"1,3-dibutylimidazolium",C(CCC)[N+]1=CN(C=C1)CCCC
[(ETO)2IM],"1,3-diethoxyimidazolium",C(C)O[N+]1=CN(C=C1)OCC
[BMMIM],"1-butyl-2,3-dimethylimidazolium",C(CCC)[N+]1=C(N(C=C1)C)C
